G   9-38, M7V+M7V, info, 207.550891100, +36.465648015, 190 ,
G  99-49, M3.5Ve, info, 204.5623091533627, -10.1428316299035, 192.0675 ,
G 254-29, M4.0Ve, info, 126.8472078294504, +37.9480680253955, 190.2625 ,
G  99-49, M3.5Ve, info, 204.5623091533627, -10.1428316299035, 192.0675 ,
HD 119850, M2V, info, 351.5756383806696, +72.4130379544275, 183.9836 ,
LP  656-38, M4.0Ve, info, 206.4304467729281, -27.4712652366057, 186.0231 ,
LP  816-60, M4V, info, 030.1633645567806, -34.2153252085713, 178.1243 ,
G 175-34, M4.0Ve, info, 148.1026136997619, +07.3117049359754, 180.4215 ,
HD 265866, M3V, info, 182.9363410067240, +15.1354329878841, 179.1642 ,
HD  36395, M1.5Ve, info, 206.9346781167711, -19.4475587208131, 175.4287 ,
HD 152751, M3.5Ve, info, 011.0483167279783, +21.1608762745504, 153.8754 ,
Wolf  629, M3.5V, info, 011.0483140602999, +21.1608779474886, 153.9189 ,
HD  42581, M1V, info, 228.6122817717854, -18.4391795981568, 173.6955 ,
Ross   47, M4V, info, 193.7081987140156, -09.2120752293072, 172.7068 ,
L  205-128, M3.5V, info, 335.3044385186167, -14.4532519153225, 169.8613 ,
HD 180617, M3-V, info, 040.4469672255952, -03.2832706058865, 169.1590 ,
L  674-15, M3.5V, info, 241.4597539549155, +06.8820284002656, 123.2204 ,
HD 131976, M1.5V, info, 338.23920286, +32.68326761, 168.77 ,
HD 131976, M1.5V, info, 338.23920286, +32.68326761, 168.77 ,
IRAS 21500+5903, M3.9, info, 101.7304030765098, +04.0386106366924, 123.0568 ,
V* YZ CMi, M4.0Ve, info, 215.8560396223226, +13.4573403176717, 167.0186 ,
CD-40  9712, M2.5V, info, 332.6748621814223, +12.1291165276338, 169.0074 ,
V* BR Psc, dM1, info, 093.5636553807084, -56.8795953908178, 169.3585 ,
L  347-14, M4.5, info, 352.3597950089425, -23.9019496772488, 169.0921 ,
BD-11  3759, M3.5V, info, 338.4201804287103, +43.1542388433921, 160.1141 ,
V* QY Aur, M4.5Ve, info, 178.9542721344056, +19.9049079934186, 164.6395 ,
NAME Luhman 16, L7.5+T0.5, info, 285.18855711, +05.29248624, 496 ,
WISEA J085510.74-071442.5, Y2, info, 234.98947263, +23.35090428, 448 ,
WISE J035000.32-565830.2, Y1, info, 269.00730604, -46.67129925, 291 ,
UGPS J072227.51-054031.2, T9, info, 221.53891385, +04.26752099, 246.00 ,
2MASS J08173001-6155158, T6, info, 276.0539467535641, -14.3993482122424, 191.5301 ,
DENIS J025503.3-470049, L9, info, 260.5894707477064, -58.6727478332588, 205.3266 ,
LP  944-20, M9.5Ve, info, 236.6714669218629, -53.4115312486206, 155.7590 ,
WISE J163940.83-684738.6, Y0pec, info, 321.20426910, -14.48101739, 202.3 ,
2MASS J09393548-2448279, T8, info, 256.91215287, +20.46572449, 196.0 ,
WISE J220905.73+271143.9, Y0:, info, 083.93859179, -23.12709724, 154.410 ,
2MASSI J1835379+325954, M8.5V, info, 061.6459605379087, +17.4440013674364, 175.8244 ,
2MASSI J0415195-093506, T8.0, info, 202.94177387, -38.94172941, 174.34 ,
HD  42581, M1V, info, 228.6122817717854, -18.4391795981568, 173.6955 ,
HD 131977, K4V, info, 338.2422601051486, +32.6768462271184, 170.0112 ,
HD 131976, M1.5V, info, 338.23920286, +32.68326761, 168.77 ,
GJ   570 D, T8, info, 338.22642258, +32.74831445, 169.30 ,
2MASSI J0937347+293142, T6, info, 197.84784360, +47.58014623, 163.39 ,
SSSPM J1549-3544, DC11, info, 338.7806803350675, +14.5119702047003, 10.4309 ,
